Customer,Membertype,redeem,TOS,churn,coffee,seasoned,spicy,sour,dessert
10101133956,1,0,180362,1,0,3,2,1,1
10101134336,1,0,146258,1,0,1,2,1,1
10101134535,1,0,204606,1,0,3,3,1,3
10101134618,1,1,32675,1,0,2,2,1,1
10101134717,1,0,140509,0,2,2,2,1,1
10101135062,1,0,244617,0,0,2,4,3,1
10101135087,1,0,254413,1,1,4,1,2,2
10101135287,1,0,162820,1,0,2,3,2,2
10101135307,1,0,203531,1,2,2,3,1,1
10101135573,1,0,145812,0,0,1,2,1,2
10101135767,1,1,213539,1,0,1,1,1,1
10101135826,1,0,223006,1,0,1,3,2,1
10101135915,1,0,246439,1,0,3,3,2,3
10101136083,1,0,31500,1,0,1,3,2,2
10101136225,1,0,68373,1,0,3,1,1,1
10101136676,1,0,85305,0,0,3,2,3,2
10101136762,1,0,145916,1,0,2.77,2.4,1.69,1.7
10101137079,1,1,223707,1,1,3,2,1,1
10101137165,1,1,237000,1,1,4,2,2,1
10101137208,2,0,252013,1,0,4,3,1,2
10101137213,1,0,248716,0,1,2,2,2,1
10101137432,1,0,130800,0,0,3,2,1,2
10101137812,1,1,182526,1,0,2,1,1,2
10101138356,1,0,214579,0,0,3,2,2,2
10101138557,1,0,25014,1,0,2,3,1,3
10101138952,1,1,234527,1,0,4,2,2,3
10101139122,2,0,180019,1,0,1,1,1,2
10101139131,1,0,53504,0,0,3,2,2,3
10101139387,1,0,249304,1,0,3,3,1,2
10101139388,1,0,174004,1,0,2,3,2,2
10101139464,1,0,80035,1,0,2,3,1,2
10101139630,1,0,193227,0,1,3,3,3,1
10101139996,1,0,163350,1,1,3,3,2,1.7
10101140122,1,0,225549,1,0,4,3,2,2
10101140160,1,0,221732,1,0,4,2,2,1
10101140358,1,0,99503,1,1,3,2,2,1
10101140431,1,0,182833,1,0,5,2,3,1
10101140633,1,0,243642,0,2,1,2,2,1
10101142080,1,1,302108,1,0,2,1,1,1
10101142293,1,0,215907,1,0,1,1,1,2
10101144475,1,0,23583,1,1,2,4,2,1
10101145524,1,1,194742,1,0,2,2,2,2
10101145565,1,0,165622,1,0,3,1,2,3
10101145978,1,1,244601,1,0,2,4,2,3
10101146326,1,0,30559,1,1,3,3,1,2
10101147144,1,0,404,1,0,4,3,1,3
10101151256,1,0,148806,1,0,1,4,3,1
10101153411,1,1,19387,1,1,3,4,2,1
10101153465,1,0,285054,0,1,2.77,2.4,1.69,1.7
10101155299,1,0,3397,1,0,4,2,1,2
10101155941,1,0,273300,1,0,3,3,1,2
10101156025,1,0,277402,1,0,2,2,3,3
10101156027,1,0,277008,1,1,2,1,1,2
10101156613,1,0,232170,1,0,3,2,1,2
10101156686,1,0,232845,0,1,2,1,1,2
10101157311,1,0,177204,0,0,5,2,3,3
10101157377,1,0,172513,0,0,4,4,1,2
10101157401,1,0,265773,1,1,2,3,2,1
10101157433,1,0,193409,1,0,4,1,1,1
10101157660,1,0,266081,0,0,4,3,1,1
10101157807,1,0,232485,1,0,1,1,2,2
10101157834,1,1,100307,1,1,1,2,2,3
10101158080,1,0,89145,0,0,1,2,1,3
10101158412,1,0,244127,0,1,1,2,1,3
10101158493,1,0,267150,1,1,3,2,1,2
10101158859,1,0,261304,1,1,2,1,2,2
10101159137,1,1,266204,1,0,4,3,2,2
10101159201,1,0,28088,0,1,1,1,1,3
10101159261,1,0,188359,1,1,4,2,2,2
10101159428,1,1,168322,0,1,2,4,1,3
10101159565,1,1,268600,1,0,2,3,2,1
10101159646,2,0,32025,1,1,3,1,1,3
10101159923,1,0,202515,1,1,1,3,3,1
10101160144,1,1,223404,1,0,2,3,1,1
10101160401,1,0,261356,1,0,2,2,1,1
10101160422,1,0,263603,1,0,4,3,2,2
10101160879,1,0,243841,1,0,3,4,2,2
10101160960,1,0,291404,1,1,2,2,1,1
10101161023,1,1,298703,1,0,2,1,1,2
10101161172,1,0,220000,1,0,5,4,2,1
10101161294,1,0,291245,1,0,3,3,2,1
10101161598,2,0,287202,1,0,1,2,3,3
10101161648,1,0,260363,1,1,2.77,2.4,1.69,1.7
10101161714,1,0,294009,0,0,3,2,2,3
10101161829,1,0,308517,1,0,2,1,2,1
10101161956,1,1,267754,1,0,2,2,3,2
10101162103,1,0,291723,1,0,3,2,3,2
10101162161,1,0,304508,1,0,4,3,1,1
10101162287,1,1,266023,1,1,3,2,2,2
10101162548,1,0,2380,1,0,3,3,1,3
10101162613,1,0,274043,0,0,3,2,2,2
10101162669,1,0,268035,0,0,1,1,2,2
10101162741,1,1,283603,1,0,4,1,1,1
10101162899,1,0,302511,1,1,3,3,1,1
10101162938,1,0,303908,1,0,2,2,3,3
10101162950,1,0,312126,1,0,4,3,2,1
10101162963,1,1,311806,1,0,4,3,1,2
10101163047,2,0,281764,1,0,4,3,2,2
10101163160,1,0,280209,0,1,2,3,3,2
10101163481,2,0,278806,1,0,2,2,1,2
10101163547,1,0,242300,0,1,4,2,2,1
10101163631,1,1,308431,1,0,3,2,2,2
10101163821,1,0,287929,1,0,2,3,2,1
10101163850,1,0,277631,1,1,3,3,1,1
10101163920,1,0,291706,1,0,3,2,3,2
10101163967,1,0,225814,1,1,2,3,1,1
10101164069,1,0,309724,1,0,2,3,1,2
10101164076,1,0,295207,1,1,3,3,1,1
10101164208,1,0,292018,1,1,4,2,3,2
10101164276,1,0,301309,1,0,4,2.4,1.69,1.7
10101164376,1,1,306001,1,1,2,2,2,2
10101164393,1,0,311331,1,0,4,3,2,3
10101164513,1,0,281203,0,1,2,2,2,3
10101164547,1,0,279108,1,0,4,3,3,3
10101164601,1,0,291556,1,0,3,2,1,1
10101164609,1,0,282672,0,0,2,2,2,2
10101164695,1,1,297117,1,0,4,2,3,2
10101164756,1,0,311546,0,0,5,3,1,1
10101164806,1,0,259676,1,1,2,2,1,1
10101165035,1,1,283101,1,1,3,1,1,2
10101165157,2,0,315611,0,1,3,3,1,1
10101165245,1,0,283918,0,1,3,3,2,3
10101165315,1,0,292414,1,1,3,3,1,2
10101165330,1,0,253364,1,0,4,2,2,2
10101165337,1,1,295031,0,0,3,1,1,2
10101165360,1,0,291100,1,0,1,2,2,1
10101165370,1,0,297516,0,0,2,3,1,2
10101165409,1,0,284512,1,0,2,2,1,2
10101165424,1,0,260439,1,1,2,3,2,1
10101165452,1,1,259740,1,0,1,2,2,2
10101165467,1,0,308520,1,1,3,3,1,1
10101165533,1,0,307020,0,0,2,2,1,2
10101165540,1,0,177827,1,1,1,1,2,2
10101165666,2,0,169939,1,0,5,2,3,3
10101165717,1,0,287325,1,0,2,1,1,1
10101165772,1,0,129832,0,2,4,1,1,1
10101165827,1,0,194248,1,0,4,2,2,1
1.9E+14,0,0,#N/A,0,0,4,1,1,2
1.9E+14,0,0,68612,0,0,5,3,2,2
1.9E+14,0,0,13143,0,0,4,2,2,1
1.9E+14,0,0,#N/A,0,1,3,3,2,1
1.9E+14,0,0,16447,0,2,4,3,1,1
1.9E+14,0,0,#N/A,0,0,3,2,2,1
1.9E+14,0,0,#N/A,0,0,4,1,1,2
1.9E+14,0,0,#N/A,0,1,4,4,1,2
1.9E+14,0,0,#N/A,0,1,3,1,1,1
1.9E+14,0,0,30446,0,1,4,2,2,1
1.9E+14,0,0,#N/A,0,0,3,2,3,2
1.9E+14,0,0,33649,0,1,3,3,2,1
1.9E+14,0,0,#N/A,0,0,2,3,2,2
1.9E+14,0,0,34712,0,1,3,3,1,1.7
1.9E+14,0,0,3517,0,0,1,1,2,3
1.9E+14,0,0,#N/A,0,0,2,1,1,2
1.9E+14,0,0,72080,0,2,2.77,2.4,1.69,1.7
1.9E+14,0,0,#N/A,0,0,1,1,1,1
1.9E+14,0,0,#N/A,0,2,2,2,2,1
1.9E+14,0,0,#N/A,0,2,3,1,1,2
1.9E+14,0,0,#N/A,0,1,3,4,2,1
1.9E+14,0,0,107505,0,0,2,2,3,1
1.9E+14,0,0,147309,0,0,4,2,3,1
1.9E+14,0,0,#N/A,0,0,4,2,2,2
1.9E+14,0,0,106703,0,0,4,2,3,2
1.9E+14,0,0,#N/A,0,2,3,2,1,1
1.9E+14,0,0,#N/A,0,0,4,3,3,2
1.9E+14,0,0,#N/A,0,0,1,2,1,1
1.9E+14,0,0,#N/A,0,1,3,3,2,2
1.9E+14,0,0,#N/A,0,1,2,2,1,1
1.9E+14,0,0,209226,0,1,4,4,2,3
1.9E+14,0,0,#N/A,0,0,4,3,2,2
1.9E+14,0,0,#N/A,0,0,1,3,1,2
1.9E+14,0,0,185737,0,0,2,2,2,1
1.9E+14,0,0,#N/A,0,0,1,1,1,1
1.9E+14,0,0,#N/A,0,1,3,2,1,2
1.9E+14,0,1,254916,1,0,1,1,1,1
1.9E+14,0,0,255257,0,1,3,3,1,1
1.9E+14,0,1,243448,1,0,3,1,2,1
1.9E+14,0,0,#N/A,0,0,3,3,2,1
1.9E+14,0,1,248507,1,0,4,3,2,2
1.9E+14,0,0,246443,0,0,4,3,2,1
1.9E+14,0,1,244400,1,1,3,2,2,2
1.9E+14,0,0,236147,0,0,1,2,1,1
1.9E+14,0,0,254489,0,2,2,2,3,1
1.9E+14,0,0,#N/A,0,1,2.77,2.4,1.69,1.7
1.9E+14,0,0,#N/A,0,1,4,4,1,2
1.9E+14,0,0,#N/A,0,2,4,2,2,2
1.9E+14,0,0,#N/A,0,1,4,2,1,2
1.9E+14,0,1,268813,1,0,3,2,3,3
1.9E+14,0,0,#N/A,0,1,3,3,2,1
1.9E+14,0,0,#N/A,0,0,2,4,2,1
1.9E+14,0,0,265535,0,0,3,2,2,1
1.9E+14,0,0,287025,0,0,5,4,1.69,1.7
1.9E+14,0,0,#N/A,0,0,3,1,1,1
1.9E+14,0,1,294710,1,0,3,1,1,1
1.9E+14,0,0,306151,1,2,3,2,2,1
1.9E+14,0,0,295237,0,0,3,3,2,1
1.9E+14,0,0,301485,0,1,4,4,1,1
1.9E+14,0,0,300602,1,0,2,2,2,2
1.9E+14,0,0,#N/A,0,1,3,1,1,1
1.9E+14,0,0,312426,0,1,4,3,3,1
1.9E+14,0,0,312035,0,1,4,2,3,2
1.9E+14,0,0,312359,0,0,3,4,1,1
1.9E+14,0,0,#N/A,0,1,1,3,1,1
1.9E+14,0,0,#N/A,0,1,1,2,3,2
1.9E+14,0,0,308419,0,0,1,2,1,1
1.9E+14,0,0,#N/A,0,1,2,2,3,1
1.9E+14,0,1,#N/A,0,1,2,2,1,1
1.9E+14,0,0,311564,1,1,3,3,2,1
1.9E+14,0,0,#N/A,0,1,2,2,3,2
1.9E+14,0,0,#N/A,0,0,3,3,2,2
1.9E+14,0,0,#N/A,0,1,4,2,1,2
1.9E+14,0,0,305008,1,0,3,4,1,2
1.9E+14,0,0,#N/A,0,2,3,3,2,2
1.9E+14,0,1,#N/A,0,0,1,1,1,1
1.9E+14,0,0,#N/A,0,0,3,3,1,1
1.9E+14,0,0,315509,0,1,3,2,1,1
